'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'9:10.000',-0.295,-0.090
'9:10.003',-0.295,-0.070
'9:10.006',-0.285,-0.060
'9:10.008',-0.280,-0.055
'9:10.011',-0.265,-0.055
'9:10.014',-0.285,-0.065
'9:10.017',-0.295,-0.065
'9:10.019',-0.290,-0.070
'9:10.022',-0.270,-0.055
'9:10.025',-0.245,-0.045
'9:10.028',-0.235,-0.050
'9:10.031',-0.255,-0.055
'9:10.033',-0.270,-0.075
'9:10.036',-0.275,-0.060
'9:10.039',-0.240,-0.045
'9:10.042',-0.235,-0.040
'9:10.044',-0.230,-0.055
'9:10.047',-0.230,-0.070
'9:10.050',-0.235,-0.080
'9:10.053',-0.250,-0.070
'9:10.056',-0.230,-0.065
'9:10.058',-0.220,-0.055
'9:10.061',-0.200,-0.080
'9:10.064',-0.195,-0.075
'9:10.067',-0.190,-0.090
'9:10.069',-0.195,-0.080
'9:10.072',-0.145,-0.065
'9:10.075',-0.125,-0.055
'9:10.078',-0.100,-0.065
'9:10.081',-0.110,-0.080
'9:10.083',-0.135,-0.085
'9:10.086',-0.150,-0.075
'9:10.089',-0.145,-0.070
'9:10.092',-0.135,-0.075
'9:10.094',-0.165,-0.075
'9:10.097',-0.180,-0.070
'9:10.100',-0.195,-0.090
'9:10.103',-0.195,-0.090
'9:10.106',-0.185,-0.075
'9:10.108',-0.170,-0.090
'9:10.111',-0.185,-0.080
'9:10.114',-0.200,-0.090
'9:10.117',-0.220,-0.095
'9:10.119',-0.210,-0.085
'9:10.122',-0.215,-0.100
'9:10.125',-0.210,-0.080
'9:10.128',-0.235,-0.085
'9:10.131',-0.260,-0.095
'9:10.133',-0.280,-0.100
'9:10.136',-0.285,-0.095
'9:10.139',-0.275,-0.095
'9:10.142',-0.280,-0.080
'9:10.144',-0.275,-0.080
'9:10.147',-0.295,-0.080
'9:10.150',-0.320,-0.090
'9:10.153',-0.325,-0.080
'9:10.156',-0.320,-0.075
'9:10.158',-0.305,-0.060
'9:10.161',-0.300,-0.065
'9:10.164',-0.310,-0.075
'9:10.167',-0.305,-0.075
'9:10.169',-0.315,-0.075
'9:10.172',-0.295,-0.070
'9:10.175',-0.295,-0.065
'9:10.178',-0.295,-0.070
'9:10.181',-0.295,-0.075
'9:10.183',-0.305,-0.080
'9:10.186',-0.300,-0.085
'9:10.189',-0.310,-0.070
'9:10.192',-0.305,-0.075
'9:10.194',-0.320,-0.070
'9:10.197',-0.350,-0.080
'9:10.200',-0.380,-0.095
'9:10.203',-0.380,-0.085
'9:10.206',-0.355,-0.080
'9:10.208',-0.310,-0.075
'9:10.211',-0.190,-0.085
'9:10.214',0.005,-0.085
'9:10.217',0.235,-0.090
'9:10.219',0.525,-0.075
'9:10.222',0.880,-0.080
'9:10.225',1.240,-0.080
'9:10.228',1.490,-0.115
'9:10.231',1.510,-0.155
'9:10.233',1.310,-0.195
'9:10.236',0.995,-0.195
'9:10.239',0.685,-0.175
'9:10.242',0.440,-0.140
'9:10.244',0.260,-0.090
'9:10.247',0.175,-0.065
'9:10.250',0.075,-0.050
'9:10.253',-0.045,-0.065
'9:10.256',-0.120,-0.060
'9:10.258',-0.140,-0.055
'9:10.261',-0.165,-0.070
'9:10.264',-0.210,-0.075
'9:10.267',-0.275,-0.080
'9:10.269',-0.315,-0.075
'9:10.272',-0.315,-0.070
'9:10.275',-0.325,-0.070
'9:10.278',-0.330,-0.080
'9:10.281',-0.325,-0.080
'9:10.283',-0.330,-0.095
'9:10.286',-0.325,-0.090
'9:10.289',-0.335,-0.060
'9:10.292',-0.330,-0.065
'9:10.294',-0.330,-0.075
'9:10.297',-0.345,-0.080
'9:10.300',-0.355,-0.095
'9:10.303',-0.360,-0.075
'9:10.306',-0.345,-0.065
'9:10.308',-0.330,-0.060
'9:10.311',-0.335,-0.060
'9:10.314',-0.350,-0.070
'9:10.317',-0.355,-0.080
'9:10.319',-0.360,-0.075
'9:10.322',-0.355,-0.065
'9:10.325',-0.340,-0.060
'9:10.328',-0.345,-0.060
'9:10.331',-0.345,-0.070
'9:10.333',-0.340,-0.080
'9:10.336',-0.340,-0.065
'9:10.339',-0.335,-0.060
'9:10.342',-0.325,-0.070
'9:10.344',-0.320,-0.060
'9:10.347',-0.335,-0.080
'9:10.350',-0.340,-0.105
'9:10.353',-0.360,-0.090
'9:10.356',-0.355,-0.090
'9:10.358',-0.365,-0.070
'9:10.361',-0.355,-0.075
'9:10.364',-0.355,-0.080
'9:10.367',-0.360,-0.090
'9:10.369',-0.370,-0.095
'9:10.372',-0.360,-0.075
'9:10.375',-0.350,-0.080
'9:10.378',-0.350,-0.085
'9:10.381',-0.360,-0.095
'9:10.383',-0.360,-0.095
'9:10.386',-0.360,-0.090
'9:10.389',-0.355,-0.075
'9:10.392',-0.335,-0.075
'9:10.394',-0.335,-0.080
'9:10.397',-0.345,-0.085
'9:10.400',-0.355,-0.095
'9:10.403',-0.370,-0.095
'9:10.406',-0.360,-0.075
'9:10.408',-0.360,-0.075
'9:10.411',-0.365,-0.075
'9:10.414',-0.365,-0.090
'9:10.417',-0.360,-0.085
'9:10.419',-0.365,-0.090
'9:10.422',-0.345,-0.075
'9:10.425',-0.350,-0.070
'9:10.428',-0.355,-0.055
'9:10.431',-0.345,-0.080
'9:10.433',-0.345,-0.090
'9:10.436',-0.340,-0.095
'9:10.439',-0.330,-0.085
'9:10.442',-0.330,-0.075
'9:10.444',-0.320,-0.075
'9:10.447',-0.325,-0.085
'9:10.450',-0.325,-0.085
'9:10.453',-0.320,-0.080
'9:10.456',-0.310,-0.070
'9:10.458',-0.295,-0.060
'9:10.461',-0.280,-0.060
'9:10.464',-0.280,-0.060
'9:10.467',-0.285,-0.085
'9:10.469',-0.285,-0.075
'9:10.472',-0.270,-0.070
'9:10.475',-0.245,-0.070
'9:10.478',-0.240,-0.070
'9:10.481',-0.235,-0.070
'9:10.483',-0.230,-0.080
'9:10.486',-0.215,-0.080
'9:10.489',-0.190,-0.070
'9:10.492',-0.180,-0.065
'9:10.494',-0.185,-0.070
'9:10.497',-0.170,-0.080
'9:10.500',-0.170,-0.085
'9:10.503',-0.165,-0.090
'9:10.506',-0.150,-0.085
'9:10.508',-0.110,-0.090
'9:10.511',-0.095,-0.090
'9:10.514',-0.085,-0.095
'9:10.517',-0.070,-0.110
'9:10.519',-0.070,-0.100
'9:10.522',-0.040,-0.095
'9:10.525',-0.040,-0.105
'9:10.528',-0.040,-0.110
'9:10.531',-0.045,-0.110
'9:10.533',-0.050,-0.120
'9:10.536',-0.055,-0.115
'9:10.539',-0.040,-0.105
'9:10.542',-0.040,-0.095
'9:10.544',-0.040,-0.095
'9:10.547',-0.050,-0.110
'9:10.550',-0.050,-0.105
'9:10.553',-0.055,-0.110
'9:10.556',-0.045,-0.115
'9:10.558',-0.055,-0.110
'9:10.561',-0.060,-0.105
'9:10.564',-0.060,-0.110
'9:10.567',-0.080,-0.120
'9:10.569',-0.110,-0.115
'9:10.572',-0.120,-0.095
'9:10.575',-0.125,-0.095
'9:10.578',-0.135,-0.085
'9:10.581',-0.150,-0.105
'9:10.583',-0.175,-0.120
